countries,native.beta,type.beta,native.success,native.fail,type.success,type.fail
AFG,1,0,44,0,0,0
ALB,1,0,18,0,0,0
DZA,1,0,13,0,0,0
ASM,1,0,1,0,0,0
AGO,0.8963414634146342,0.19047619047619047,147,17,4,17
ARG,0.7484276729559748,0.14893617021276595,357,120,21,120
ARM,1,0,7,0,0,0
AUS,0.3146551724137931,0.533724340175953,73,159,182,159
AUT,0.7142857142857143,0.9976931949250288,5,2,865,2
AZE,1,0,10,0,0,0
BHS,1,0,3,0,0,0
BGD,0.967391304347826,0,89,3,0,0
BLR,1,0,1,0,0,0
BLZ,1,0,40,0,0,0
BEN,1,0,11,0,0,0
BMU,1,1,3,0,1,0
BTN,0.8378378378378378,0,31,6,0,0
BOL,0.9671916010498688,0,737,25,0,0
BIH,1,0,22,0,0,0
BWA,1,1,8,0,27,0
BRA,0.4344487109160724,0.058877225011410315,1584,2062,129,2062
BRN,0.8666666666666667,0,13,2,0,0
BGR,0.6363636363636364,0.42857142857142855,7,4,3,4
BFA,0.5,0,1,1,0,0
BDI,1,0,272,0,0,0
KHM,1,0,208,0,0,0
CMR,1,0,260,0,0,0
CAN,0.9230769230769231,0.9411764705882353,36,3,48,3
CYM,1,0,2,0,0,0
CAF,1,0,29,0,0,0
TCD,1,0,23,0,0,0
CHL,0.7368421052631579,0.09090909090909091,28,10,1,10
CHN,0.4143692564745196,0.14407814407814407,496,701,118,701
CCK,1,0,2,0,0,0
COL,0.8581989247311828,0.07456140350877193,1277,211,17,211
COM,1,0,1,0,0,0
COD,1,0,750,0,0,0
COG,1,0,286,0,0,0
CRI,0.97,0,97,3,0,0
HRV,0.868421052631579,0,33,5,0,0
CZE,0.5,0.8888888888888888,1,1,8,1
CIV,1,0,41,0,0,0
DNK,1,1,1,0,64,0
DOM,1,0,12,0,0,0
ECU,0.9704142011834319,0,656,20,0,0
EGY,1,0,8,0,0,0
SLV,1,0,22,0,0,0
GNQ,1,0,46,0,0,0
ERI,1,0,5,0,0,0
EST,1,0,1,0,0,0
SWZ,1,0,1,0,0,0
ETH,1,0,50,0,0,0
FRO,1,0,1,0,0,0
FIN,1,1,2,0,2,0
