country,domestic_type_retained,total_country_type,total_country_museum,total_type_world,prop_DC,prop_DR,prop_WC,region,native_richness,records,records_per_area,yearsSinceIndependence,e_migdppc,n.museums,native.beta,type.beta,native.success,native.fail,type.success,type.fail,type.richness.pad,years.independence,native.richness.pad,records.per.area.pad,years.independence.pad,years.independence.fac,gdp.pad,n.museums.pad,colonization,type.beta.model,native.beta.model,prop_DC.pad,prop_DR.pad,success.DC,failures.DC,success.DR,failures.DR
AFG,0,20,0,20246,0,0,0,South Asia,44,75232,0.11715058970821356,104,2086,0,1,0,6,0,0,0,0,104,-0.3585225439080108,-0.37079440733329516,0.9390076671416157,1,-0.7227505385933348,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,20
ALB,0,9,0,20246,0,0,0,Europe & Central Asia,18,11090,0.3913749294184077,undefined,3687,0,1,0,3,0,0,0,0,0,-0.4197966410591731,-0.36595345446769784,-0.8494654140703279,0,-0.5230083681919352,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,9
ARG,140,250,141,20246,0.9929078014184397,0.56,0.006964338634792058,Latin America & Caribbean,477,2740133,0.9841350052760006,207,13664,25,0.18823529411764703,0.01428571428571428,16,69,1,69,141,207,0.6619268432632686,-0.35548930824761,2.7102838918034444,1,0.721730941049017,0.8290011144902074,1,0.01847290640394088,0.1909229208924949,0.9886585962337979,0.5594827586206897,140,1,140,110
ARM,0,6,0,20246,0,0,0,Europe & Central Asia,7,53555,1.8100243341895363,32,5172,0,1,0,3,0,0,0,0,32,-0.44572029754620324,-0.3409096713062083,-0.299166004466653,1,-0.33773845998076807,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,6
AUS,218,318,342,20246,0.6374269005847953,0.6855345911949685,0.016892225624814777,East Asia & Pacific,232,63544355,8.261982726956543,122,26671,19,0.22777777777777777,0.3623853211009174,41,139,79,139,342,122,0.08453631241577791,-0.2270115887976003,1.2485510850436827,1,2.3444957195693203,0.5196258996456046,1,0.36357165453970264,0.23012452107279693,0.6362421859245816,0.6839351550639774,218,124,218,100
AUT,13,18,867,20246,0.014994232987312572,0.7222222222222222,0.042823273733083075,Europe & Central Asia,7,3481488,41.44973985927399,undefined,21853,5,0.5,0.9962406015037594,1,1,265,1,867,0,-0.44572029754620324,0.358860431761296,-0.8494654140703279,0,1.7433977951508672,-0.20224960165846884,0,0.9919626652838993,0.5,0.01917531718569781,0.7203065134099617,13,854,13,5
AZE,0,18,0,20246,0,0,0,Europe & Central Asia,10,83212,0.964776811594203,32,6827,4,1,0,3,0,0,0,0,32,-0.43865020941337685,-0.35583104342427496,-0.299166004466653,1,-0.13125920200805324,-0.25381213746590264,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,18
BDI,0,191,0,20246,0,0,0,Sub-Saharan Africa,272,63581,2.3512813875226515,61,1011,1,1,0,3,0,0,0,0,61,0.1788041541867968,-0.3313547212017544,0.19954283548667742,1,-0.8568684856148867,-0.4084997448882041,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,191
BEN,0,15,0,20246,0,0,0,Sub-Saharan Africa,11,594526,5.120236321514386,63,1630,1,1,0,3,0,0,0,0,63,-0.4362935133691014,-0.2824736469084105,0.23393654858690713,1,-0.7796415003066629,-0.4084997448882041,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,15
BFA,1,9,1,20246,1,0.1111111111111111,4.9392472587177715e-5,Sub-Saharan Africa,2,163153,0.5981361518354358,63,1512,1,0.5,0,1,1,0,0,1,63,-0.4575037777675806,-0.36230344537947495,0.23393654858690713,1,-0.7943632842587961,-0.4084997448882041,1,0.004310344827586207,0.5,0.9956896551724138,0.11446360153256704,1,0,1,8
