country_distribution,region_distribution,native.richness
AFG,South Asia,44
AGO,Sub-Saharan Africa,164
ALB,Europe & Central Asia,18
ARE,Middle East & North Africa,1
ARG,Latin America & Caribbean,477
ARM,Europe & Central Asia,7
ASM,East Asia & Pacific,1
AUS,East Asia & Pacific,232
AUT,Europe & Central Asia,7
AZE,Europe & Central Asia,10
BDI,Sub-Saharan Africa,272
BEN,Sub-Saharan Africa,11
BFA,Sub-Saharan Africa,2
BGD,South Asia,92
BGR,Europe & Central Asia,11
BHS,Latin America & Caribbean,3
BIH,Europe & Central Asia,22
BLR,Europe & Central Asia,1
BLZ,Latin America & Caribbean,40
BMU,North America,3
BOL,Latin America & Caribbean,762
BRA,Latin America & Caribbean,3646
BRN,East Asia & Pacific,15
BTN,South Asia,37
BWA,Sub-Saharan Africa,8
CAF,Sub-Saharan Africa,29
CAN,North America,39
CCK,East Asia & Pacific,2
CHE,Europe & Central Asia,30
CHL,Latin America & Caribbean,38
CHN,East Asia & Pacific,1197
CIV,Sub-Saharan Africa,41
CMR,Sub-Saharan Africa,260
COD,Sub-Saharan Africa,750
COG,Sub-Saharan Africa,286
COL,Latin America & Caribbean,1488
COM,Sub-Saharan Africa,1
CRI,Latin America & Caribbean,100
CYM,Latin America & Caribbean,2
CZE,Europe & Central Asia,2
DEU,Europe & Central Asia,11
DNK,Europe & Central Asia,1
DOM,Latin America & Caribbean,12
DZA,Middle East & North Africa,13
ECU,Latin America & Caribbean,676
EGY,Middle East & North Africa,8
ERI,Sub-Saharan Africa,5
ESP,Europe & Central Asia,34
EST,Europe & Central Asia,1
ETH,Sub-Saharan Africa,50
FIN,Europe & Central Asia,2
FRA,Europe & Central Asia,25
FRO,Europe & Central Asia,1
GAB,Sub-Saharan Africa,241
GBR,Europe & Central Asia,9
GEO,Europe & Central Asia,49
GHA,Sub-Saharan Africa,31
GIN,Sub-Saharan Africa,72
GMB,Sub-Saharan Africa,10
GNB,Sub-Saharan Africa,5
GNQ,Sub-Saharan Africa,46
GRC,Europe & Central Asia,44
GTM,Latin America & Caribbean,111
GUF,Latin America & Caribbean,268
GUY,Latin America & Caribbean,429
