country,domestic_type_retained,total_country_type,total_country_museum,total_type_world,prop_DC,prop_DR,prop_WC
ABW,0,1,0,20246,0,0,0
AFG,0,20,0,20246,0,0,0
AGO,21,148,21,20246,1,0.14189189189189189,0.001037241924330732
ALB,0,9,0,20246,0,0,0
ARG,140,250,141,20246,0.9929078014184397,0.56,0.006964338634792058
ARM,0,6,0,20246,0,0,0
ASM,0,2,0,20246,0,0,0
AUS,218,318,342,20246,0.6374269005847953,0.6855345911949685,0.016892225624814777
AUT,13,18,867,20246,0.014994232987312572,0.7222222222222222,0.042823273733083075
AZE,0,18,0,20246,0,0,0
BDI,0,191,0,20246,0,0,0
BEL,2,6,901,20246,0.0022197558268590455,0.3333333333333333,0.04450261780104712
BEN,0,15,0,20246,0,0,0
BFA,1,9,1,20246,1,0.1111111111111111,4.9392472587177715e-5
BGD,3,25,3,20246,1,0.12,1.4817741776153315e-4
BGR,7,15,7,20246,1,0.4666666666666667,3.45747308110244e-4
BHS,0,4,0,20246,0,0,0
BIH,0,17,0,20246,0,0,0
BLR,0,1,0,20246,0,0,0
BLZ,0,9,0,20246,0,0,0
BMU,0,4,1,20246,0,0,4.9392472587177715e-5
BOL,23,177,25,20246,0.92,0.12994350282485875,0.0012348118146794428
BRA,2171,3532,2191,20246,0.9908717480602465,0.6146659116647791,0.10821890743850637
BRB,0,1,0,20246,0,0,0
BRN,2,9,2,20246,1,0.2222222222222222,9.878494517435543e-5
BTN,6,8,6,20246,1,0.75,2.963548355230663e-4
BWA,0,28,27,20246,0,0,0.0013335967598537982
CAF,0,36,0,20246,0,0,0
CAN,7,36,51,20246,0.13725490196078433,0.19444444444444445,0.0025190161019460634
CCK,0,2,0,20246,0,0,0
CHE,35,45,221,20246,0.1583710407239819,0.7777777777777778,0.010915736441766275
CHL,10,40,11,20246,0.9090909090909091,0.25,5.433171984589549e-4
CHN,806,1330,820,20246,0.9829268292682927,0.606015037593985,0.04050182752148573
CIV,0,53,0,20246,0,0,0
CMR,0,301,0,20246,0,0,0
COD,0,634,0,20246,0,0,0
COG,0,273,0,20246,0,0,0
COL,220,595,228,20246,0.9649122807017544,0.3697478991596639,0.01126148374987652
