country_museum,region_museum,type_richness
AGO,Sub-Saharan Africa,21
ARG,Latin America & Caribbean,141
AUS,East Asia & Pacific,342
AUT,Europe & Central Asia,867
BEL,Europe & Central Asia,901
BFA,Sub-Saharan Africa,1
BGD,South Asia,3
BGR,Europe & Central Asia,7
BMU,North America,1
BOL,Latin America & Caribbean,25
BRA,Latin America & Caribbean,2191
BRN,East Asia & Pacific,2
BTN,South Asia,6
BWA,Sub-Saharan Africa,27
CAN,North America,51
CHE,Europe & Central Asia,221
CHL,Latin America & Caribbean,11
CHN,East Asia & Pacific,820
COL,Latin America & Caribbean,228
CRI,Latin America & Caribbean,3
CZE,Europe & Central Asia,9
DEU,Europe & Central Asia,1101
DNK,Europe & Central Asia,64
ECU,Latin America & Caribbean,20
ESP,Europe & Central Asia,36
FIN,Europe & Central Asia,2
FRA,Europe & Central Asia,1485
GBR,Europe & Central Asia,2666
GEO,Europe & Central Asia,8
GRC,Europe & Central Asia,5
GUY,Latin America & Caribbean,13
HRV,Europe & Central Asia,5
HUN,Europe & Central Asia,5
IDN,East Asia & Pacific,314
IND,South Asia,716
IRL,Europe & Central Asia,1
IRN,Middle East & North Africa,60
ISL,Europe & Central Asia,2
ISR,Middle East & North Africa,7
ITA,Europe & Central Asia,178
JPN,East Asia & Pacific,77
KEN,Sub-Saharan Africa,4
KOR,East Asia & Pacific,25
LKA,South Asia,35
LUX,Europe & Central Asia,1
MEX,Latin America & Caribbean,60
MKD,Europe & Central Asia,5
MMR,East Asia & Pacific,2
MNE,Europe & Central Asia,1
MYS,East Asia & Pacific,19
NLD,Europe & Central Asia,572
NOR,Europe & Central Asia,7
NPL,South Asia,3
NZL,East Asia & Pacific,22
OMN,Middle East & North Africa,1
PAK,South Asia,16
PAN,Latin America & Caribbean,2
PER,Latin America & Caribbean,113
PHL,East Asia & Pacific,35
POL,Europe & Central Asia,2
PRK,East Asia & Pacific,2
PRT,Europe & Central Asia,7
PRY,Latin America & Caribbean,8
PSE,Middle East & North Africa,1
ROU,Europe & Central Asia,34
RUS,Europe & Central Asia,386
SEN,Sub-Saharan Africa,1
SGP,East Asia & Pacific,263
SRB,Europe & Central Asia,2
SVK,Europe & Central Asia,7
SVN,Europe & Central Asia,2
SWE,Europe & Central Asia,200
THA,East Asia & Pacific,63
TUR,Europe & Central Asia,143
TWN,East Asia & Pacific,12
URY,Latin America & Caribbean,43
USA,North America,4976
VEN,Latin America & Caribbean,258
VNM,East Asia & Pacific,80
ZAF,Sub-Saharan Africa,186
ZWE,Sub-Saharan Africa,4
