countries,native.beta,type.beta,native.success,native.fail,type.success,type.fail
AFG,1,0,6,0,0,0
ALB,1,0,3,0,0,0
DZA,1,0,8,0,0,0
ASM,1,0,1,0,0,0
AGO,0.8461538461538461,0,55,10,0,0
ARG,0.18823529411764706,0.014285714285714285,16,69,1,69
ARM,1,0,3,0,0,0
AUS,0.22777777777777777,0.3623853211009174,41,139,79,139
AUT,0.5,0.9962406015037594,1,1,265,1
AZE,1,0,3,0,0,0
BHS,1,0,3,0,0,0
BGD,0.9166666666666666,0,11,1,0,0
BLR,1,0,1,0,0,0
BLZ,1,0,2,0,0,0
BEN,1,0,3,0,0,0
BMU,1,1,3,0,1,0
BTN,0.14285714285714285,0,1,6,0,0
BOL,0.7285714285714285,0,51,19,0,0
BIH,1,0,4,0,0,0
BRA,0.21144389807778274,0.005636978579481398,473,1764,10,1764
BRN,0.6666666666666666,0,4,2,0,0
BGR,0,0,0,1,0,0
BFA,0.5,0,1,1,0,0
BDI,1,0,3,0,0,0
KHM,1,0,12,0,0,0
CMR,1,0,150,0,0,0
CAN,0.7142857142857143,0.9230769230769231,5,2,24,2
CYM,1,0,2,0,0,0
CAF,1,0,9,0,0,0
TCD,1,0,8,0,0,0
CHL,0.6551724137931034,0.09090909090909091,19,10,1,10
CHN,0.27765726681127983,0.011869436201780416,256,666,8,666
CCK,1,0,1,0,0,0
COL,0.527363184079602,0.030612244897959183,212,190,6,190
COD,1,0,325,0,0,0
COG,1,0,185,0,0,0
CRI,1,0,20,0,0,0
HRV,0.6153846153846154,0,8,5,0,0
CIV,1,0,16,0,0,0
DOM,1,0,5,0,0,0
ECU,0.8157894736842105,0,62,14,0,0
EGY,1,0,4,0,0,0
SLV,1,0,1,0,0,0
GNQ,1,0,11,0,0,0
ERI,1,0,2,0,0,0
ETH,1,0,42,0,0,0
FRO,1,0,1,0,0,0
FRA,0.15384615384615385,0.9721518987341772,2,11,384,11
GUF,1,0,36,0,0,0
GAB,1,0,90,0,0,0
GMB,1,0,1,0,0,0
GEO,1,0,2,0,0,0
DEU,0.2,0.9908466819221968,1,4,433,4
GHA,1,0,14,0,0,0
GRC,0.8695652173913043,0,20,3,0,0
GTM,1,0,23,0,0,0
GIN,1,0,32,0,0,0
GUY,0.9012345679012346,0,73,8,0,0
HTI,1,0,8,0,0,0
HND,1,0,3,0,0,0
ISL,0.3333333333333333,0,1,2,0,0
IND,0.16366906474820145,0.10748560460652591,91,465,56,465
IDN,0.48132780082987553,0.007936507936507936,232,250,2,250
IRN,0.5058823529411764,0,43,42,0,0
IRQ,1,0,3,0,0,0
IRL,1,0,3,0,0,0
