country_type,country_museum,n,total_country_type
ABW,ABW,0,1
ABW,AFG,0,1
ABW,AGO,0,1
ABW,AIA,0,1
ABW,ALA,0,1
ABW,ALB,0,1
ABW,AND,0,1
ABW,ARE,0,1
ABW,ARG,0,1
ABW,ARM,0,1
ABW,ASM,0,1
ABW,ATG,0,1
ABW,AUS,0,1
ABW,AUT,0,1
ABW,AZE,0,1
ABW,BDI,0,1
ABW,BEL,0,1
ABW,BEN,0,1
ABW,BES,0,1
ABW,BFA,0,1
ABW,BGD,0,1
ABW,BGR,0,1
ABW,BHR,0,1
ABW,BHS,0,1
ABW,BIH,0,1
ABW,BLM,0,1
ABW,BLR,0,1
ABW,BLZ,0,1
ABW,BMU,0,1
ABW,BOL,0,1
ABW,BRA,0,1
ABW,BRB,0,1
ABW,BRN,0,1
ABW,BTN,0,1
ABW,BWA,0,1
ABW,CAF,0,1
ABW,CAN,0,1
ABW,CCK,0,1
ABW,CHE,0,1
ABW,CHL,0,1
ABW,CHN,0,1
ABW,CIV,0,1
ABW,CMR,0,1
ABW,COD,0,1
ABW,COG,0,1
ABW,COK,0,1
ABW,COL,0,1
ABW,COM,0,1
ABW,CPV,0,1
ABW,CRI,0,1
ABW,CUB,0,1
ABW,CUW,0,1
ABW,CXR,0,1
ABW,CYM,0,1
ABW,CYP,0,1
ABW,CZE,0,1
ABW,DEU,0,1
ABW,DJI,0,1
ABW,DMA,0,1
ABW,DNK,0,1
ABW,DOM,0,1
ABW,DZA,0,1
ABW,ECU,0,1
ABW,EGY,0,1
ABW,ERI,0,1
ABW,ESP,0,1
ABW,EST,0,1
ABW,ETH,0,1
ABW,FIN,0,1
ABW,FJI,0,1
ABW,FLK,0,1
ABW,FRA,0,1
ABW,FRO,0,1
ABW,FSM,0,1
ABW,GAB,0,1
ABW,GBR,0,1
ABW,GEO,0,1
ABW,GGY,0,1
ABW,GHA,0,1
ABW,GIB,0,1
ABW,GIN,0,1
ABW,GLP,0,1
ABW,GMB,0,1
ABW,GNB,0,1
ABW,GNQ,0,1
ABW,GRC,0,1
ABW,GRD,0,1
ABW,GRL,0,1
ABW,GTM,0,1
ABW,GUF,0,1
ABW,GUM,0,1
ABW,GUY,0,1
ABW,HKG,0,1
ABW,HMD,0,1
ABW,HND,0,1
ABW,HRV,0,1
ABW,HTI,0,1
ABW,HUN,0,1
ABW,IDN,0,1
ABW,IMN,0,1
ABW,IND,0,1
ABW,IRL,0,1
ABW,IRN,0,1
ABW,IRQ,0,1
ABW,ISL,0,1
ABW,ISR,0,1
ABW,ITA,0,1
ABW,JAM,0,1
ABW,JEY,0,1
ABW,JOR,0,1
ABW,JPN,0,1
