country_museum,n.museums
AGO,1
ARG,25
AUS,19
AUT,5
AZE,4
BDI,1
BEL,6
BEN,1
BFA,1
BGD,4
BGR,4
BMU,3
BOL,6
BRA,75
BRN,2
BTN,2
BWA,1
CAN,10
CHE,6
CHL,11
CHN,99
CIV,1
COG,2
COL,31
CRI,1
CUB,8
CZE,5
DEU,38
DNK,1
DOM,1
ECU,4
EGY,2
ESP,15
FIN,2
FJI,2
FRA,17
GAB,1
GBR,24
GEO,1
GRC,5
GRD,1
GUM,1
GUY,2
HND,1
HRV,7
HUN,2
IDN,11
IND,85
IRL,1
IRN,8
ISL,3
ISR,4
ITA,21
JPN,76
KEN,1
KHM,2
KOR,18
LAO,4
LKA,7
LUX,1
MCO,1
MDG,4
MEX,24
MKD,1
MMR,2
MNE,3
MOZ,2
MUS,1
MWI,2
MYS,19
NAM,1
NGA,2
NLD,3
NOR,4
NPL,2
NZL,8
OMN,1
PAK,6
PAN,1
PER,5
PHL,10
PNG,2
POL,4
PRI,1
PRK,1
PRT,3
PRY,3
PSE,1
ROU,6
RUS,20
SAU,4
SDN,1
SEN,1
SGP,4
SRB,1
SVK,2
SVN,2
SWE,10
SYC,1
TCD,1
THA,16
TTO,1
TUR,10
TWN,15
TZA,3
UKR,6
URY,8
USA,122
UZB,1
VEN,18
VNM,14
YEM,1
ZAF,13
ZWE,2
NA,1
