country,records,records_per_area,yearsSinceIndependence,e_migdppc
AFG,75232,0.11715058970821356,104,2086
ALB,11090,0.3913749294184077,undefined,3687
ARG,2740133,0.9841350052760006,207,13664
ARM,53555,1.8100243341895363,32,5172
AUS,63544355,8.261982726956543,122,26671
AUT,3481488,41.44973985927399,undefined,21853
AZE,83212,0.964776811594203,32,6827
BDI,63581,2.3512813875226515,61,1011
BEL,27836905,907.6265079882621,undefined,22312
BEN,594526,5.120236321514386,63,1630
BFA,163153,0.5981361518354358,63,1512
BGD,80285,0.5864328288435693,undefined,1390
BGR,211331,1.8741497503569498,undefined,10591
BIH,9936,0.19171474328052943,undefined,6471
BLR,47222,0.22757700037108614,undefined,11506
BOL,848979,0.7811652624053309,198,2240
BRA,11713425,1.3824951284541946,201,5832
BRB,38386,86.45495495495494,57,12798
BWA,334029,0.5768778420424538,57,4807
CAF,55762,0.09023210956917976,63,1065
CAN,51964152,5.22487614533889,156,28799
CHE,8734666,210.79896708176463,undefined,32877
CHL,1589818,2.158339815882041,205,7443
CHN,2556017,0.272653708305781,undefined,2509
CIV,269345,0.8399261562257349,63,2608
CMR,396358,0.8536329549296927,63,2229
COD,273085,0.11744379074848188,63,1530
COG,53931,0.15637205013787048,63,2409
COL,5175280,4.559244060969872,204,6621
COM,32196,19.255980861244023,48,1689
CPV,61579,15.858614473345355,48,2198
CRI,8963809,175.2660918191772,undefined,7945
CYP,94165,17.454124189063947,63,18683
DEU,24829862,69.42037162332178,undefined,24887
DJI,11294,0.5169351885756133,46,3518
DNK,33502248,784.6694772344013,undefined,24704
DOM,310570,6.411436829066886,undefined,5093
ECU,3127389,12.263597292697655,undefined,5025
EGY,171677,0.1714919601749712,101,4418
ESP,19913217,39.28555054016304,undefined,14597
EST,2425032,52.926340601060694,undefined,14221
ETH,341900,0.3032706035963157,undefined,979
FIN,26769578,80.37488252832081,undefined,21775
FRA,65473961,102.82377006057237,undefined,23348
GAB,328832,1.2648941408173313,63,10415
GBR,68943587,282.80719738455923,undefined,23075
GEO,403272,5.796553161518449,32,5242
GHA,288179,1.2074421060129301,66,2301
GIN,74203,0.3037347217787821,65,1347
GMB,179959,17.13732025521379,58,2119
