code_museum,country_museum,region_museum
MD,AGO,Sub-Saharan Africa
AI,ARG,Latin America & Caribbean
CFA-IC,ARG,Latin America & Caribbean
CI-FML,ARG,Latin America & Caribbean
CIPBV,ARG,Latin America & Caribbean
EDULP,ARG,Latin America & Caribbean
FACEN,ARG,Latin America & Caribbean
FML,ARG,Latin America & Caribbean
IAA,ARG,Latin America & Caribbean
IADIZA,ARG,Latin America & Caribbean
IBA,ARG,Latin America & Caribbean
IBAUNC,ARG,Latin America & Caribbean
IBIGEO,ARG,Latin America & Caribbean
ILPLA,ARG,Latin America & Caribbean
INALI,ARG,Latin America & Caribbean
INIDEP,ARG,Latin America & Caribbean
LGEP,ARG,Latin America & Caribbean
MACN,ARG,Latin America & Caribbean
MACN-ICH,ARG,Latin America & Caribbean
MCNCH,ARG,Latin America & Caribbean
MCNI,ARG,Latin America & Caribbean
MFA,ARG,Latin America & Caribbean
MFA-ZV,ARG,Latin America & Caribbean
MLP,ARG,Latin America & Caribbean
MMPEAA,ARG,Latin America & Caribbean
UNMDP,ARG,Latin America & Caribbean
[MLS],AUS,East Asia & Pacific
AFAQ,AUS,East Asia & Pacific
AMS,AUS,East Asia & Pacific
CAM,AUS,East Asia & Pacific
CSIRO,AUS,East Asia & Pacific
DHMB,AUS,East Asia & Pacific
FBQ,AUS,East Asia & Pacific
GNHNA,AUS,East Asia & Pacific
MAMU,AUS,East Asia & Pacific
MMUS,AUS,East Asia & Pacific
MU,AUS,East Asia & Pacific
NMV,AUS,East Asia & Pacific
NTM,AUS,East Asia & Pacific
QM,AUS,East Asia & Pacific
QMB,AUS,East Asia & Pacific
QVM,AUS,East Asia & Pacific
SAMA,AUS,East Asia & Pacific
TMH,AUS,East Asia & Pacific
WAM,AUS,East Asia & Pacific
CMV,AUT,Europe & Central Asia
LIG,AUT,Europe & Central Asia
LJG,AUT,Europe & Central Asia
NMW,AUT,Europe & Central Asia
OLL,AUT,Europe & Central Asia
CBS,AZE,Europe & Central Asia
CBSIZA,AZE,Europe & Central Asia
IZAB,AZE,Europe & Central Asia
ZIAZ,AZE,Europe & Central Asia
BFRIRS,BGD,South Asia
FBGN-SAU,BGD,South Asia
FLJNU,BGD,South Asia
LU,BGD,South Asia
IRSNB,BEL,Europe & Central Asia
ISBN,BEL,Europe & Central Asia
ISNM,BEL,Europe & Central Asia
MRAC,BEL,Europe & Central Asia
MZULG,BEL,Europe & Central Asia
ZMULB,BEL,Europe & Central Asia
LHC,BEN,Sub-Saharan Africa
BAMZ,BMU,North America
BNHS,BMU,North America
BZS,BMU,North America
CNR,BTN,South Asia
NBC,BTN,South Asia
CBF,BOL,Latin America & Caribbean
CIPA,BOL,Latin America & Caribbean
CIRA-UTB,BOL,Latin America & Caribbean
MNKP,BOL,Latin America & Caribbean
ORSTOM,BOL,Latin America & Caribbean
UMSS,BOL,Latin America & Caribbean
SADC/GEF,BWA,Sub-Saharan Africa
LaGEEvo,BRA,Latin America & Caribbean
ABAM-I,BRA,Latin America & Caribbean
AZUSC,BRA,Latin America & Caribbean
CAGC,BRA,Latin America & Caribbean
CAUSC,BRA,Latin America & Caribbean
CICCA,BRA,Latin America & Caribbean
CICCAA,BRA,Latin America & Caribbean
CITL,BRA,Latin America & Caribbean
CIUEMA,BRA,Latin America & Caribbean
CIUFES,BRA,Latin America & Caribbean
CI-UFES,BRA,Latin America & Caribbean
CIUNB,BRA,Latin America & Caribbean
CPUFMA,BRA,Latin America & Caribbean
CPUFMT,BRA,Latin America & Caribbean
DZSASP,BRA,Latin America & Caribbean
DZSJRP,BRA,Latin America & Caribbean
DZUFMG,BRA,Latin America & Caribbean
DZUFRGS,BRA,Latin America & Caribbean
EEBP,BRA,Latin America & Caribbean
GIG,BRA,Latin America & Caribbean
IEPA,BRA,Latin America & Caribbean
INPA,BRA,Latin America & Caribbean
IO,BRA,Latin America & Caribbean
LBP,BRA,Latin America & Caribbean
LBRP,BRA,Latin America & Caribbean
LEP-UFRRJ,BRA,Latin America & Caribbean
LIA,BRA,Latin America & Caribbean
LIOP.UFAM,BRA,Latin America & Caribbean
LIRP,BRA,Latin America & Caribbean
LISDEBE,BRA,Latin America & Caribbean
LNEP-UFF,BRA,Latin America & Caribbean
LOC-DBEZ-UFR,BRA,Latin America & Caribbean
MAPA,BRA,Latin America & Caribbean
MBML,BRA,Latin America & Caribbean
MCN,BRA,Latin America & Caribbean
MCNIP,BRA,Latin America & Caribbean
MCP,BRA,Latin America & Caribbean
MCT-PUCRS,BRA,Latin America & Caribbean
MHNCI,BRA,Latin America & Caribbean
MHNI,BRA,Latin America & Caribbean
MHNP,BRA,Latin America & Caribbean
MN,BRA,Latin America & Caribbean
MNRJ,BRA,Latin America & Caribbean
MOCH,BRA,Latin America & Caribbean
MOFUNG,BRA,Latin America & Caribbean
MOFURG,BRA,Latin America & Caribbean
MOVI,BRA,Latin America & Caribbean
MPEG,BRA,Latin America & Caribbean
MZFS,BRA,Latin America & Caribbean
MZICT,BRA,Latin America & Caribbean
MZP,BRA,Latin America & Caribbean
MZSP,BRA,Latin America & Caribbean
