species,country_distribution,region_distribution
Alburnoides holciki,AFG,South Asia
Aorichthys aor sarwari,AFG,South Asia
Aspiostoma zarudnyi,AFG,South Asia
Capoeta fusca,AFG,South Asia
Clupisoma naziri,AFG,South Asia
Cobitis longicauda,AFG,South Asia
Cobitis stolickai,AFG,South Asia
Cyprinus gotyla,AFG,South Asia
Cyprinus sophore,AFG,South Asia
Discognathus adiscus,AFG,South Asia
Discognathus wanae,AFG,South Asia
Glyptosternum akhtari,AFG,South Asia
Glyptothorax jalalensis,AFG,South Asia
Glyptothorax kashmirensis,AFG,South Asia
Glyptothorax naziri,AFG,South Asia
Gobio fluviatilis lepidolaemus,AFG,South Asia
Nemacheilus alepidotus,AFG,South Asia
Nemacheilus bampurensis,AFG,South Asia
Nemacheilus brandtii oxiana,AFG,South Asia
Nemacheilus cristatus,AFG,South Asia
Nemacheilus kessleri turcomanus,AFG,South Asia
Nemachilus akhtari,AFG,South Asia
Nemachilus amudarjensis,AFG,South Asia
Nemachilus brahui,AFG,South Asia
Nemachilus farwelli,AFG,South Asia
Nemachilus griffithii,AFG,South Asia
Nemachilus kessleri,AFG,South Asia
Nemachilus prashari,AFG,South Asia
Nemachilus punjabensis,AFG,South Asia
Noemacheilus ghazniensis,AFG,South Asia
Noemacheilus lindbergi,AFG,South Asia
Ophicephalus punctatus,AFG,South Asia
Scaphirhynchus hermanni,AFG,South Asia
Scaphirhynchus kaufmanni,AFG,South Asia
Schistura alta,AFG,South Asia
Schizocypris altidorsalis,AFG,South Asia
Schizocypris brucei,AFG,South Asia
Schizocypris ladigesi,AFG,South Asia
Schizopygopsis stolickai,AFG,South Asia
Schizothorax microcephalus,AFG,South Asia
Schizothorax pelzami,AFG,South Asia
Silurus attu,AFG,South Asia
Silurus bimaculatus,AFG,South Asia
Triplophysa kullmanni,AFG,South Asia
Alburnoides devolli,ALB,Europe & Central Asia
Alburnoides fangfangae,ALB,Europe & Central Asia
Barbatula pindus,ALB,Europe & Central Asia
Barbus albanicus,ALB,Europe & Central Asia
Barbus balcanicus,ALB,Europe & Central Asia
Barbus peloponnesius,ALB,Europe & Central Asia
Barbus rebeli,ALB,Europe & Central Asia
Chondrostoma scodrensis,ALB,Europe & Central Asia
Eudontomyzon graecus,ALB,Europe & Central Asia
Fundulus letourneuxi,ALB,Europe & Central Asia
Lampetra soljani,ALB,Europe & Central Asia
Nemachilus sturanyi,ALB,Europe & Central Asia
Orthrias barbatulus zetensis,ALB,Europe & Central Asia
Phoxinus karsticus,ALB,Europe & Central Asia
Rutilus albus,ALB,Europe & Central Asia
Salmo ohridanus,ALB,Europe & Central Asia
Squalius pictus,ALB,Europe & Central Asia
Squalius platyceps,ALB,Europe & Central Asia
Aphanius saourensis,DZA,Middle East & North Africa
Barbus biscarensis amguidensis,DZA,Middle East & North Africa
Barbus callensis,DZA,Middle East & North Africa
Barbus fritschii,DZA,Middle East & North Africa
Barbus leptopogon,DZA,Middle East & North Africa
Barbus massaensis,DZA,Middle East & North Africa
Barbus setivimensis,DZA,Middle East & North Africa
Leuciscus callensis,DZA,Middle East & North Africa
Luciobarbus chelifensis,DZA,Middle East & North Africa
Luciobarbus lanigarensis,DZA,Middle East & North Africa
Luciobarbus numidiensis,DZA,Middle East & North Africa
Phoxinellus punicus,DZA,Middle East & North Africa
Tellia apoda,DZA,Middle East & North Africa
Fagasa tutuilae,ASM,East Asia & Pacific
Aethiomastacembelus shiloangoensis,AGO,Sub-Saharan Africa
Ailia occidentalis,AGO,Sub-Saharan Africa
Alestes ansorgii,AGO,Sub-Saharan Africa
Alestes humilis,AGO,Sub-Saharan Africa
Alestes lateralis,AGO,Sub-Saharan Africa
Amphilius pagei,AGO,Sub-Saharan Africa
Amphilius platychir cubangoensis,AGO,Sub-Saharan Africa
Anabas ansorgii,AGO,Sub-Saharan Africa
Anabas machadoi,AGO,Sub-Saharan Africa
Aplocheilichthys mediolateralis,AGO,Sub-Saharan Africa
Aplocheilichthys nigrolateralis,AGO,Sub-Saharan Africa
Aplocheilus chobensis,AGO,Sub-Saharan Africa
Aplocheilus luluae,AGO,Sub-Saharan Africa
Arius heudelotii,AGO,Sub-Saharan Africa
Atopochilus astatodon,AGO,Sub-Saharan Africa
Atopochilus macrocephalus,AGO,Sub-Saharan Africa
Barbus aspius,AGO,Sub-Saharan Africa
Barbus breviceps,AGO,Sub-Saharan Africa
Barbus brevilateralis,AGO,Sub-Saharan Africa
Barbus caudosignatus,AGO,Sub-Saharan Africa
Barbus caudovittatus,AGO,Sub-Saharan Africa
Barbus chicapaensis,AGO,Sub-Saharan Africa
Barbus chiumbeensis,AGO,Sub-Saharan Africa
Barbus dorsolineatus,AGO,Sub-Saharan Africa
Barbus ensis,AGO,Sub-Saharan Africa
Barbus evansi,AGO,Sub-Saharan Africa
Barbus fasciolatus,AGO,Sub-Saharan Africa
Barbus girardi,AGO,Sub-Saharan Africa
Barbus greenwoodi,AGO,Sub-Saharan Africa
Barbus guirali,AGO,Sub-Saharan Africa
Barbus gulielmi,AGO,Sub-Saharan Africa
Barbus lucius,AGO,Sub-Saharan Africa
Barbus mediosquamatus,AGO,Sub-Saharan Africa
Barbus miolepis rubrostigma,AGO,Sub-Saharan Africa
Barbus musumbi,AGO,Sub-Saharan Africa
Barbus petchkovskyi,AGO,Sub-Saharan Africa
Barbus rhinophorus,AGO,Sub-Saharan Africa
Barbus rosae,AGO,Sub-Saharan Africa
Barbus roussellei,AGO,Sub-Saharan Africa
Barbus roylii,AGO,Sub-Saharan Africa
Barbus serra,AGO,Sub-Saharan Africa
Barilius ansorgii,AGO,Sub-Saharan Africa
Bryconaethiops macrops,AGO,Sub-Saharan Africa
Bryconaethiops microstoma,AGO,Sub-Saharan Africa
Chilochromis duponti,AGO,Sub-Saharan Africa
Chiloglanis angolensis,AGO,Sub-Saharan Africa
Chiloglanis micropogon,AGO,Sub-Saharan Africa
Chiloglanis sardinhai,AGO,Sub-Saharan Africa
Chromis humilis,AGO,Sub-Saharan Africa
Chrysichthys ansorgii,AGO,Sub-Saharan Africa
Chrysichthys bocagii,AGO,Sub-Saharan Africa
Clariallabes heterocephalus,AGO,Sub-Saharan Africa
Clariallabes variabilis,AGO,Sub-Saharan Africa
Clarias angolensis,AGO,Sub-Saharan Africa
Clarias buthupogon,AGO,Sub-Saharan Africa
Clarias dumerilii,AGO,Sub-Saharan Africa
Clarias nigromarmoratus,AGO,Sub-Saharan Africa
Clarias platycephalus,AGO,Sub-Saharan Africa
Congoglanis howesi,AGO,Sub-Saharan Africa
Distichodus fasciolatus,AGO,Sub-Saharan Africa
Doryichthys aculeatus,AGO,Sub-Saharan Africa
Doumea alula,AGO,Sub-Saharan Africa
Doumea angolensis,AGO,Sub-Saharan Africa
Doumea scaphyrhynchura,AGO,Sub-Saharan Africa
Dundocharax bidentatus,AGO,Sub-Saharan Africa
Engraulicypris howesi,AGO,Sub-Saharan Africa
Euchilichthys royauxi,AGO,Sub-Saharan Africa
Eutropius angolensis,AGO,Sub-Saharan Africa
Eutropius ansorgii,AGO,Sub-Saharan Africa
Eutropius bocagii,AGO,Sub-Saharan Africa
Garra congoensis,AGO,Sub-Saharan Africa
Gnathonemus angolensis,AGO,Sub-Saharan Africa
Gnathonemus cassaicus,AGO,Sub-Saharan Africa
Gnathonemus dundoensis,AGO,Sub-Saharan Africa
Gnathonemus tshokwe,AGO,Sub-Saharan Africa
Gobius maindroni,AGO,Sub-Saharan Africa
Gymnallabes apus,AGO,Sub-Saharan Africa
Haplochilus cabindae,AGO,Sub-Saharan Africa
Haplochilus calliurus australis,AGO,Sub-Saharan Africa
Haplochilus loemensis,AGO,Sub-Saharan Africa
Haplochilus macrurus,AGO,Sub-Saharan Africa
Haplochilus singa,AGO,Sub-Saharan Africa
Haplochromis albolabris,AGO,Sub-Saharan Africa
Haplochromis coulteri,AGO,Sub-Saharan Africa
Haplochromis machadoi,AGO,Sub-Saharan Africa
Haplochromis schwetzi,AGO,Sub-Saharan Africa
Hemigrammocharax angolensis,AGO,Sub-Saharan Africa
Hemigrammocharax lineostriatus,AGO,Sub-Saharan Africa
Hemigrammocharax machadoi,AGO,Sub-Saharan Africa
Hemigrammocharax monardi,AGO,Sub-Saharan Africa
Hippopotamyrus longilateralis,AGO,Sub-Saharan Africa
Hydrocyonoides cuvieri,AGO,Sub-Saharan Africa
Kneria marmorata,AGO,Sub-Saharan Africa
Kneria maydelli,AGO,Sub-Saharan Africa
Kneria sjolandersi,AGO,Sub-Saharan Africa
Labeo annectens,AGO,Sub-Saharan Africa
Labeo ansorgii,AGO,Sub-Saharan Africa
Labeo lukulae,AGO,Sub-Saharan Africa
Labeobarbus nanningsi,AGO,Sub-Saharan Africa
Lacustricola bragancai,AGO,Sub-Saharan Africa
Lacustricola pygmaeus,AGO,Sub-Saharan Africa
Leptoglanis dorae,AGO,Sub-Saharan Africa
Leptoglanis flavomaculatus,AGO,Sub-Saharan Africa
Malapterurus beninensis,AGO,Sub-Saharan Africa
Marcusenius ansorgii,AGO,Sub-Saharan Africa
Marcusenius cubangoensis,AGO,Sub-Saharan Africa
Marcusenius desertus,AGO,Sub-Saharan Africa
Marcusenius jacksoni,AGO,Sub-Saharan Africa
Marcusenius multisquamatus,AGO,Sub-Saharan Africa
Marcusenius pappenheimi,AGO,Sub-Saharan Africa
Mastacembelus ansorgii,AGO,Sub-Saharan Africa
Mastacembelus flavomarginatus,AGO,Sub-Saharan Africa
Microctenopoma steveboyesi,AGO,Sub-Saharan Africa
Microctenopoma stevenorrisi,AGO,Sub-Saharan Africa
Mormyrus kingsleyae,AGO,Sub-Saharan Africa
Mormyrus moorii,AGO,Sub-Saharan Africa
Mormyrus pauciradiatus,AGO,Sub-Saharan Africa
Nannocharax fasciolaris,AGO,Sub-Saharan Africa
Nannocharax macropterus,AGO,Sub-Saharan Africa
Nannocharax multifasciatus,AGO,Sub-Saharan Africa
Nannocharax parvus,AGO,Sub-Saharan Africa
Nannocharax procatopus,AGO,Sub-Saharan Africa
Nomorhamphus sagittarius,AGO,Sub-Saharan Africa
