species,country_museum,region_museum
Ammocoetes aepyptera,USA,North America
Lethenteron alaskense,CAN,North America
Lampetra bergi,GBR,Europe & Central Asia
Ichthyomyzon castaneus,USA,North America
Eudontomyzon danfordi,GBR,Europe & Central Asia
Entosphenus folletti,CAN,North America
Ichthyomyzon fossor,USA,North America
Ichthyomyzon gagei,USA,North America
Lampetra (Eudontomyzon) gracilis,CZE,Europe & Central Asia
Eudontomyzon graecus,CAN,North America
Ichthyomyzon greeleyi,USA,North America
Eudontomyzon hellenicus,CAN,North America
Ichthyomyzon hirudo,USA,North America
Entosphenus hubbsi,USA,North America
Ichthyomyzon hubbsi,USA,North America
Lampetra lanceolata,CZE,Europe & Central Asia
Lampetra (Entosphenus) lethophaga,USA,North America
Lampetra macrostoma,CAN,North America
Lethenteron matsubarai,CAN,North America
Lampetra (Entosphenus) minima,USA,North America
Lethenteron ninae,RUS,Europe & Central Asia
Lampetra pacifica,CAN,North America
Petromyzon planeri,DEU,Europe & Central Asia
Petromyzon reissneri,GBR,Europe & Central Asia
Lampetra richardsoni,CAN,North America
Entosphenus similis,CAN,North America
Lampetra soljani,DEU,Europe & Central Asia
Lampetra spadicea,USA,North America
Ichthyomyzon unicuspis,USA,North America
Lampetra zanandreai,CAN,North America
Mordacia praecox,AUS,East Asia & Pacific
Glyphis fowlerae,MYS,East Asia & Pacific
Zearaja maugeana,AUS,East Asia & Pacific
Himantura chaophraya,THA,East Asia & Pacific
Makararaja chindwinensis,SGP,East Asia & Pacific
Himantura dalyensis,AUS,East Asia & Pacific
Potamotrygon garouaensis,FRA,Europe & Central Asia
Himantura kittipongi,SGP,East Asia & Pacific
Dasybatus (Himanturus) krempfi,FRA,Europe & Central Asia
Urogymnus laevior,IND,South Asia
Dasyatis laosensis,GBR,Europe & Central Asia
Trygon (Himantura) oxyrhynchus,FRA,Europe & Central Asia
Trygon polylepis,NLD,Europe & Central Asia
Himantura signifer,IDN,East Asia & Pacific
Pastinachus stellurostris,IDN,East Asia & Pacific
Potamotrygon adamastor,BRA,Latin America & Caribbean
Trygon aiereba,BRA,Latin America & Caribbean
Potamotrygon albimaculata,BRA,Latin America & Caribbean
Potamotrygon amandae,BRA,Latin America & Caribbean
Potamotrygon amazona,BRA,Latin America & Caribbean
Potamotrygon boesemani,USA,North America
Trygon brachyurus,GBR,Europe & Central Asia
Potamotrygon brumi,URY,Latin America & Caribbean
Potamotrygon castexi,ARG,Latin America & Caribbean
Potamotrygon circularis,USA,North America
Taeniura constellata,FRA,Europe & Central Asia
Trygon (Taenura) dumerilii,FRA,Europe & Central Asia
Potamotrygon falkneri,ARG,Latin America & Caribbean
Potamotrygon garmani,BRA,Latin America & Caribbean
Heliotrygon gomesi,BRA,Latin America & Caribbean
Trygon (Taenura) henlei,FRA,Europe & Central Asia
Trygon histrix,FRA,Europe & Central Asia
Potamotrygon humerosus,USA,North America
Trygon hystrix,FRA,Europe & Central Asia
Plesiotrygon iwamae,BRA,Latin America & Caribbean
Potamotrygon jabuti,BRA,Latin America & Caribbean
Potamotrygon labradori,ARG,Latin America & Caribbean
Potamotrygon laticeps,USA,North America
Potamotrygon leopoldi,BEL,Europe & Central Asia
Potamotrygon limai,BRA,Latin America & Caribbean
Taeniura magdalenae,FRA,Europe & Central Asia
Potamotrygon marinae,FRA,Europe & Central Asia
Potamotrygon marquesi,BRA,Latin America & Caribbean
Potamotrygon menchacai,ARG,Latin America & Caribbean
Taeniura motoro,AUT,Europe & Central Asia
Trygon (Taenura) mulleri,FRA,Europe & Central Asia
Plesiotrygon nana,PER,Latin America & Caribbean
Trygon hystrix ocellata,DEU,Europe & Central Asia
Trygon (Taenura) orbignyi,FRA,Europe & Central Asia
Paratrygon orinocensis,COL,Latin America & Caribbean
Potamotrygon pantanensis,BRA,Latin America & Caribbean
Paratrygon parvaspina,COL,Latin America & Caribbean
Potamotrygon pauckei,ARG,Latin America & Caribbean
Trygon reticulatus,GBR,Europe & Central Asia
Potamotrygon rex,BRA,Latin America & Caribbean
Heliotrygon rosai,BRA,Latin America & Caribbean
Potamotrygon roulini,COL,Latin America & Caribbean
Potamotrygon schroederi,VEN,Latin America & Caribbean
Potamotrygon scobina,USA,North America
Potamotrygon signatus,USA,North America
Potamotrygon tatianae,BRA,Latin America & Caribbean
Disceus thayeri,USA,North America
Potamotrygon tigrina,PER,Latin America & Caribbean
Potamotrygon wallacei,BRA,Latin America & Caribbean
Potamotrygon yepezi,USA,North America
Polypterus ansorgii,GBR,Europe & Central Asia
Polypterus bichir,FRA,Europe & Central Asia
Polypterus buettikoferi,NLD,Europe & Central Asia
Polypterus congicus,GBR,Europe & Central Asia
Polypterus delhezi,BEL,Europe & Central Asia
Polypterus endlicherii,AUT,Europe & Central Asia
Polypterus bichir katangae,BEL,Europe & Central Asia
Polypterus lapradei,AUT,Europe & Central Asia
Polypterus lowei,GBR,Europe & Central Asia
Polypterus ornatipinnis,GBR,Europe & Central Asia
Polypterus palmas,USA,North America
Polypterus polli,BEL,Europe & Central Asia
Polypterus retropinnis,FRA,Europe & Central Asia
Polypterus schoutedeni,FRA,Europe & Central Asia
Polypterus senegalus,FRA,Europe & Central Asia
Polypterus teugelsi,USA,North America
Polypterus weeksii,GBR,Europe & Central Asia
Acipenser (Huso) anasimos,USA,North America
Acipenser (Huso) atelaspis,USA,North America
Acipenser stenorrhynchus baicalensis,RUS,Europe & Central Asia
Acipenser (Antaceus) buffalo,USA,North America
Acipenser (Antaceus) caryi,USA,North America
Acipenser (Antaceus) cincinnati,USA,North America
Acipenser (Huso) copei,USA,North America
Acipenser dabryanus,FRA,Europe & Central Asia
Acipenser (Huso) honneymani,FRA,Europe & Central Asia
Acipenser (Sterletus) kankreni,FRA,Europe & Central Asia
Scaphirhynchus kaufmanni,RUS,Europe & Central Asia
Acipenser kostera,GBR,Europe & Central Asia
Acipenser (Huso) lamarii,FRA,Europe & Central Asia
Acipenser liopeltis,GBR,Europe & Central Asia
Acipenser (Sterletus) lovetzkyi,FRA,Europe & Central Asia
Acipenser maculosus,USA,North America
Acipenser (Huso) nertinianus,USA,North America
Acipenser (Huso) paranasimos,USA,North America
Acipenser (Huso) platyrhinus,FRA,Europe & Central Asia
Acipenser (Antaceus) putnami,USA,North America
Acipenser (Huso) rafinesquii,USA,North America
Scaphirhynchus rafinesquii,AUT,Europe & Central Asia
Acipenser (Huso) rauchii,USA,North America
Acipenser (Huso) richardsonii,FRA,Europe & Central Asia
Acipenser (Huso) rosarium,FRA,Europe & Central Asia
Pseudoscaphirhynchus rossikowi,RUS,Europe & Central Asia
Acipenser stenorrhynchus,RUS,Europe & Central Asia
Scaphirhynchus suttkusi,USA,North America
Platirostra edentula,USA,North America
Cylindrosteus agassizii,USA,North America
Lepidosteus ayresii,FRA,Europe & Central Asia
Cylindrosteus bartonii,FRA,Europe & Central Asia
Lepisosteus (Atractosteus) berlandieri,USA,North America
Cylindrosteus castelnaudii,FRA,Europe & Central Asia
Lepidosteus crassus,USA,North America
Lepidosteus harlani,FRA,Europe & Central Asia
Lepidosteus leptorhynchus,USA,North America
Lepidosteus lesueurii,FRA,Europe & Central Asia
Lepidosteus louisianensis,FRA,Europe & Central Asia
Atractosteus lucius,FRA,Europe & Central Asia
Cylindrosteus megalops,USA,North America
Lepidosteus milberti,FRA,Europe & Central Asia
Lepidosteus (Cylindrosteus) oculatus,USA,North America
Lepidosteus otarius,USA,North America
Lepisosteus platostomus,USA,North America
Cylindostreus productus,USA,North America
Cylindrosteus rafinesquii,FRA,Europe & Central Asia
Cylindrosteus scabriceps,USA,North America
Lepidosteus smithii,FRA,Europe & Central Asia
Lepidosteus thompsonii,FRA,Europe & Central Asia
Lepisosteus treculii,FRA,Europe & Central Asia
Lepidosteus troostii,FRA,Europe & Central Asia
Atractosteus tropicus,USA,North America
Cylindrosteus zadockii,FRA,Europe & Central Asia
Amia cinerea,FRA,Europe & Central Asia
Amia marmorata,FRA,Europe & Central Asia
Amia ornata,FRA,Europe & Central Asia
Amia piquotii,FRA,Europe & Central Asia
